# MoonSpeak Dictionary v1.0 - Real Estate DSL
# Format: Unicode|symbol|name|category|priority|description
# Unicode ranges: U+E000-E0FF (general), U+E100-E1FF (real estate)

# Basic arithmetic and logic operators
U+002B|+|plus|arith|3|addition
U+002D|-|minus|arith|3|subtraction
U+002A|*|mul|arith|2|multiplication
U+002F|/|div|arith|2|division
U+0025|%|mod|arith|2|modulus
U+002A002A|**|pow|arith|1|exponentiation
U+00AC|¬|not|logic|1|negation
U+2227|∧|and|logic|2|conjunction
U+2228|∨|or|logic|3|disjunction
U+2192|→|imp|logic|4|implication
U+2194|↔|iff|logic|5|equivalence
U+2295|⊕|xor|logic|4|exclusive-or
U+22A4|⊤|true|logic|1|boolean true
U+22A5|⊥|false|logic|1|boolean false
U+003D|=|eq|logic|3|equality
U+2260|≠|ne|logic|3|inequality
U+2200|∀|forall|quant|1|universal quantifier
U+2203|∃|exists|quant|1|existential quantifier
U+25A1|□|box|modal|1|necessity
U+25C7|◇|diamond|modal|1|possibility
U+2234|∴|therefore|reason|1|logical conclusion
U+2235|∵|because|reason|1|logical premise
U+22A2|⊢|vdash|reason|1|syntactic entailment
U+22A8|⊨|models|reason|1|semantic entailment
U+27E8|⟨|lt|reason|1|less than
U+27E9|⟩|gt|reason|1|greater than
U+27E8003D|⟨=|le|reason|1|less than or equal
U+27E9003D|⟩=|ge|reason|1|greater than or equal

# General purpose symbols (U+E000-E0FF range)
U+E000||money|general|1|monetary value
U+E001||time|general|1|temporal reference
U+E002||location|general|1|geographical location
U+E003||person|general|1|individual person
U+E004||company|general|1|business entity
U+E005||contract|general|1|legal agreement
U+E006||document|general|1|official document
U+E007||analysis|general|1|analytical process
U+E008||market|general|1|marketplace
U+E009||value|general|1|assessed worth
U+E00A||investment|general|1|financial investment
U+E00B||return|general|1|financial return
U+E00C||risk|general|1|financial risk
U+E00D||profit|general|1|financial gain
U+E00E||loss|general|1|financial loss

# Real Estate Domain-Specific Symbols (U+E100-E1FF range)
# Property Types
U+E100||property|realestate|1|real estate property
U+E101||residential|realestate|1|residential property
U+E102||commercial|realestate|1|commercial property
U+E103||industrial|realestate|1|industrial property
U+E104||retail|realestate|1|retail property
U+E105||office|realestate|1|office building
U+E106||warehouse|realestate|1|warehouse facility
U+E107||apartment|realestate|1|apartment unit
U+E108||condo|realestate|1|condominium
U+E109||house|realestate|1|single family house
U+E10A||townhouse|realestate|1|townhouse
U+E10B||duplex|realestate|1|duplex property
U+E10C||land|realestate|1|vacant land
U+E10D||lot|realestate|1|building lot

# Financial Terms
